Date/Time, City, State, Shape, Duration, Summary, Posted
2022-12-02T04:45:00Z, 200 miles East of ORD at 39000 feet traveling east, OH, Orb, Aproximatly 20-30 min, 3 bright objects moved at high speed in a lower orbit or lower in irregular pattern.((NUFORC Note: Report from airline pilot. PD)), 12/22/2022
2022-12-01T18:45:00Z, Elyria, OH, Triangle, , So many of them, 12/22/2022
2022-12-01T18:10:00Z, Blakeslee, OH, Sphere, 5 minutes, Bright spherical object moving linear west to east at 20 thousand feet high., 12/22/2022
2022-11-23T11:27:00Z, Independence, OH, Disk, 40 seconds, "UFO displaying advanced camouflage, it showed an outline of itself when it went over power lines, it seemed to reflect light around", 12/22/2022
2022-11-22T21:04:00Z, Ashley, OH, Changing, about 20 mins, "I saw an circle ball flashing from blue, to green, to clear moving erratically very fast up, down and side to side. Then it changed sh", 3/6/2023
2022-11-09T01:30:00Z, Elyria, OH, Fireball, >5 seconds, A fireball like object appeared out of nowhere and streaked away., 12/22/2022
2022-11-09T01:30:00Z, Elyria, OH, Fireball, 2-4 seconds, Fireball that picks a direction and flies away, 12/22/2022
2022-11-08T20:40:00Z, Antwerp, OH, Unknown, 3 minutes, Large object flying in sky silently, 12/22/2022
2022-11-08T17:23:00Z, Mansfield, OH, Changing, 2 min, I saw 3 stationary lights in a very clear sky which then disappeared one by one and reappeared in a different formation further south, 12/22/2022
2022-11-03T21:22:00Z, Stoutsville, OH, Circle, , "Round with several others, so bright you couldn't stare at it.", 12/22/2022
2022-11-03T21:22:00Z, Laurelville, OH, , , MADAR site 107 had spike on magnetometer plus compass variation., 7/10/2023
2022-11-03T18:53:00Z, Columbus, OH, Cylinder, 3 seconds, It was a a flash of blueish light in the sky that zipped forward really quickly then just disappeared., 12/22/2022
2022-11-03T17:00:00Z, Sandusky, OH, Other, unsure, Saw UFO with red and white flashing lights, 12/22/2022
2022-11-02T21:43:00Z, Columbus, OH, Light, 6 seconds, Odd S shaped flight pattern at high speed, 12/22/2022
2022-11-01T21:11:00Z, Byesville, OH, Circle, All night, They are everywhere flying above tree tops. Very scared send help, 12/22/2022
2022-10-29T21:28:00Z, North Royalton, OH, Orb, 2 minutes, We saw a light moving very fast approaching and it was too high for a plane and way to fast, 12/22/2022
2022-10-28T17:05:00Z, Montgomery, OH, Changing, Over 1 hour, Beautiful day sitting in the hot tub Saw multiple objects moving in the sky. Have multiple videos., 12/22/2022
2022-10-26T03:30:00Z, Marietta, OH, Other, "6 minutes, approximate", Heard the sound outside. Picture of something in the window. Missing time., 12/22/2022
2022-10-24T07:00:00Z, Cincinnati, OH, Circle, 3 minutes, I was taking time lapses of sunrise when I notice a bright light come out of one cloud and float to another, 12/22/2022
2022-10-24T06:52:00Z, Holmesville, OH, Triangle, 2 Minutes, Triangle shaped object moving steadily across sky, 12/22/2022
2022-10-23T23:42:00Z, Garfield Hts, OH, Unknown, 25 minutes and county, "Three in vertical line, two on horizontal ends flickering", 12/22/2022
2022-10-23T20:30:00Z, Mount Vernon, OH, Triangle, I filmed for 3 1/2 minute, "I filmed the object for 3 1/2 minutes, until it went straight up, and disappeared.", 12/22/2022
2022-10-23T19:00:00Z, Columbus, OH, Unknown, 1-2 min, Bright sphere at night, 12/22/2022
2022-10-20T20:04:00Z, Washington Court House, OH, Circle, Seconds, Bright orange lights triangle shape, 12/22/2022
2022-10-20T02:12:00Z, Toledo, OH, Light, 10 min, This is our second time seeing this bright light, 12/22/2022
2022-10-20T01:43:00Z, Amherst, OH, Circle, 1-2 seconds max, "We were driving and infront of us a very large blue circle craft thing, flew and disappeared infront us within 1-2 secs it was gone", 12/22/2022
2022-10-19T20:00:00Z, Centerburg, OH, Circle, 39 seconds, Glowingly ball of light Chang shape instantly disappearing, 12/22/2022
2022-10-16T19:13:00Z, Columbus, OH, Light, , Flying lights, 12/22/2022
2022-10-15T20:29:00Z, Chesterland, OH, Unknown, 4 minutes, Super bright white flashing bright then dim kinda sparkling- but NOT a planet- not a meteor or aircraft., 12/22/2022
2022-10-15T19:17:00Z, East Liverpool, OH, Circle, about 3 minutes, "Did not appear to be satellites or lanterns, I've seen those before, never seen anything like these before", 12/22/2022
2022-10-14T20:30:00Z, Piqua, OH, Oval, Lasted approximately 10 m, Witnessed several orbs along with circling helicopters, 12/22/2022
2022-10-14T16:49:00Z, Carrollton, OH, Circle, Picture, In a field, 12/22/2022
2022-10-13T20:00:00Z, Manchester, OH, Light, 30-40 minutes+, "My wife and I were sitting outside by our fire ring when I noticed a light to the north east that was moving, coming to a complete stop", 12/22/2022
2022-10-11T04:56:00Z, Pickerington, OH, Rectangle, 20 seconds, A flying object silently hovering over my neighbors house with very bright lights, 12/22/2022
